Breed,Bite_Circumstance,Date_of_Dangerous_Act,Forward_Sortation_Area
BULLDOG,NON SEVERE,2021-06-05,M9R
SHEPHERD,SEVERE,2021-06-09,M1M
GREAT DANE,NON SEVERE,2021-06-19,M1R
CANE CORSO,SEVERE,2021-06-21,M5R
SHEPHERD,NON SEVERE,2021-06-27,M3B
LABRADOR RETR,SEVERE,2021-07-11,M3H
BULL TERRIER,SEVERE,2021-08-04,M1L
BOXER,SEVERE,2021-08-22,M1J
CHOW CHOW,SEVERE,2021-08-31,M1V
CHOW CHOW,SEVERE,2021-08-31,M1V
BELG MALINOIS,SEVERE,2021-09-09,M1L
GREYHOUND,SEVERE,2021-09-18,M4J
BOXER,NON SEVERE,2021-09-20,M3K
BULLDOG,SEVERE,2021-09-24,M6H
SHEPHERD,NOT A BITE,2021-10-06,M9C
BOXER,SEVERE,2021-10-07,M1B
MASTIFF,NON SEVERE,2021-10-07,M1N
BORDER COLLIE,SEVERE,2021-10-11,M6G
DOGO ARGENTINO,SEVERE,2021-10-27,M4E
CHOW CHOW,NON SEVERE,2021-11-13,M9A
AKITA,SEVERE,2021-12-02,M4Y
MASTIFF,VERY SEVERE,2021-12-21,M6B
MASTIFF,SEVERE,2021-12-21,M6B
DOGO ARGENTINO,SEVERE,2022-01-12,M1S
SHEPHERD,NON SEVERE,2022-01-13,M2N
LABRADOR RETR,SEVERE,2022-01-19,M4L
LABRADOR RETR,NON SEVERE,2022-01-26,M4A
BELG MALINOIS,SEVERE,2022-02-02,M9R
BORDER COLLIE,NON SEVERE,2022-02-10,M9M
SHEPHERD,NOT A BITE,2022-02-20,M4C
AKITA,NON SEVERE,2022-03-15,M5J
BULLDOG,NON SEVERE,2022-03-18,M3J
SHEPHERD,SEVERE,2022-03-20,M2K
Husky,NON SEVERE,2022-04-23,M4W
CAROLINA DOG MIX,SEVERE,2022-04-25,M4T
BULLDOG,VERY SEVERE,2022-05-09,M6A
ROTTWEILER,SEVERE,2022-05-11,M4J
BULLDOG,NON SEVERE,2022-05-13,M4J
LABRADOR RETR,SEVERE,2022-05-14,M6R
BULLDOG,SEVERE,2022-05-17,M2J
WEIMARANER,SEVERE,2022-05-20,M4V
BOSTON TERRIER,SEVERE,2022-05-27,M5R
CANE CORSO,SEVERE,2022-06-06,M2J
BULLDOG,SEVERE,2022-06-09,M4J
CANE CORSO,SEVERE,2022-06-12,M9N
BULLDOG,SEVERE,2022-06-12,M9N
WHIPPET / VIZSLA,SEVERE,2022-06-14,M6K
LABRADOR RETR,SEVERE,2022-06-15,M1L
Husky,NOT A BITE,2022-06-22,M4P
PIT BULL TER,NON SEVERE,2022-06-24,M1N
Husky,SEVERE,2022-06-30,M1C
Husky,SEVERE,2022-07-01,M5A
GOLDEN RETR,SEVERE,2022-07-02,M4G
MASTIFF,SEVERE,2022-07-03,M6B
BULLDOG,SEVERE,2022-07-06,M2J
ROTTWEILER,NON SEVERE,2022-07-09,M4L
MASTIFF,SEVERE,2022-07-09,M2M
SHEPHERD,SEVERE,2022-07-14,M4M
Husky,SEVERE,2022-07-14,M5R
SHIH TZU,NON SEVERE,2022-07-20,M4L
ROTTWEILER,SEVERE,2022-07-20,M4B
BULLDOG,SEVERE,2022-07-25,M4C
PORT WATER DOG,NON SEVERE,2022-07-26,M6C
BORDER COLLIE,NON SEVERE,2022-07-26,M2J
BULLDOG,NON SEVERE,2022-07-28,M4X
MASTIFF,SEVERE,2022-07-28,M4L
Husky,SEVERE,2022-07-31,M3J
SHEPHERD,NON SEVERE,2022-08-04,M2P
MASTIFF,SEVERE,2022-08-12,M1B
RUSSIAN TERRIER,NON SEVERE,2022-08-15,L9C
BULLDOG,SEVERE,2022-08-22,M4X
PIT BULL TER,SEVERE,2022-08-22,M4X
BULLDOG,NOT A BITE,2022-08-25,M2J
SC WHEAT TERR,SEVERE,2022-08-28,M1V
POODLE STND,SEVERE,2022-08-28,M1S
CATTLE DOG,SEVERE,2022-08-29,M1G
Husky,SEVERE,2022-09-04,M4M
SHEPHERD,SEVERE,2022-09-04,M4M
LABRADOR RETR,NON SEVERE,2022-09-06,M5V
GOLDEN RETR,SEVERE,2022-09-17,M3B
BULLDOG,SEVERE,2022-09-17,M4M
MASTIFF,NON SEVERE,2022-09-26,M6S
PIT BULL TER,NON SEVERE,2022-10-01,M4H
POODLE STND,SEVERE,2022-10-05,M6M
BULLDOG,SEVERE,2022-10-12,M4C
SHEPHERD,NOT A BITE,2022-10-18,M5T
SHEPHERD,SEVERE,2022-10-20,M2L
PIT BULL TER,SEVERE,2022-10-20,M3N
SHEPHERD,SEVERE,2022-10-23,M9P
BOXER,NON SEVERE,2022-10-23,M6B
SHEPHERD,NOT A BITE,2022-10-25,M2J
PRESA CANARIO,SEVERE,2022-10-25,M1E
SHEPHERD,SEVERE,2022-10-31,M2N
ROTTWEILER,SEVERE,2022-11-06,M8W
PIT BULL TER,NON SEVERE,2022-11-08,M1T
PIT BULL TER,NON SEVERE,2022-12-04,M3M
SHEPHERD,NON SEVERE,2022-12-06,M2J
CANE CORSO,SEVERE,2022-12-11,M1W
LABRADOR RETR,SEVERE,2022-12-22,M4L
CANE CORSO,SEVERE,2023-01-05,M6M
BEAGLE,SEVERE,2023-01-12,M6J
SPINONE ITAL,SEVERE,2023-01-17,M4L
SHEPHERD,SEVERE,2023-02-20,M1H
GERM SH POINT,VERY SEVERE,2023-02-21,M4K
BULLDOG,SEVERE,2023-02-22,M5A
BULLDOG,SEVERE,2023-03-09,M1M
SHEPHERD,SEVERE,2023-03-27,M3C
GOLDEN RETR,NON SEVERE,2023-03-31,M4P
SHEPHERD,SEVERE,2023-04-08,M2K
MASTIFF,NON SEVERE,2023-04-13,M4C
CANE CORSO,NOT A BITE,2023-04-16,M1J
BULLDOG,NOT A BITE,2023-04-20,M3J
SHEPHERD,SEVERE,2023-04-23,M3J
BULLDOG,NON SEVERE,2023-04-27,M5M
PIT BULL TER,SEVERE,2023-04-28,M6P
BORDER COLLIE,NON SEVERE,2023-05-01,M3L
PIT BULL TER,SEVERE,2023-05-02,M9A
PIT BULL TER,SEVERE,2023-05-02,M9A
SHEPHERD,NON SEVERE,2023-05-09,M5T
SHEPHERD,SEVERE,2023-05-11,M4L
GOLDEN RETR,SEVERE,2023-05-14,M4J
BULLDOG,SEVERE,2023-05-23,M9R
SHEPHERD,SEVERE,2023-06-04,M1K
FILA,NOT A BITE,2023-06-06,M1W
BULLDOG,NON SEVERE,2023-06-14,M3J
SHEPHERD,NON SEVERE,2023-06-18,M4J
GOLDEN RETR,SEVERE,2023-06-21,M6B
PIT BULL TER,SEVERE,2023-06-23,M4S
MASTIFF,SEVERE,2023-06-25,M1R
GOLDEN RETR,SEVERE,2023-06-25,M6H
